squads_player_id;squads_tournament_id;squads_team_id;squads_shirt_number;squads_position_name;players_family_name;players_given_name;players_birth_date;players_female;players_goal_keeper;players_defender;players_midfielder;players_forward
P-44209;WC-1938;T-75;0;goal keeper;Ballabio;Erwin;1918-10-20;0;1;0;0;0
P-44227;WC-2003;T-03;16;defender;Medina;Adela;1978-11-03;1;0;1;0;0
P-44228;WC-1991;T-31;5;defender;Fitschen;Doris;1968-10-25;1;0;1;0;0
P-44228;WC-1999;T-31;5;defender;Fitschen;Doris;1968-10-25;1;0;1;0;0
P-44233;WC-1966;T-58;5;defender;Germano;not applicable;1933-01-18;0;0;1;0;0
P-44262;WC-2010;T-11;16;goal keeper;Hamidou;Souleymanou;1973-11-22;0;1;0;0;0
P-44282;WC-2010;T-28;13;defender;Warnock;Stephen;1981-12-12;0;0;1;0;0
P-44308;WC-2010;T-51;2;defender;Cha;Jong-hyok;1985-09-25;0;0;1;0;0
P-44313;WC-1974;T-86;8;midfielder;Cullmann;Bernhard;1949-11-01;0;0;0;1;0
P-44313;WC-1978;T-86;16;midfielder;Cullmann;Bernhard;1949-11-01;0;0;0;1;0
P-44317;WC-1978;T-03;1;midfielder;Alonso;Norberto;1953-01-04;0;0;0;1;0
P-44327;WC-1974;T-86;22;goal keeper;Kleff;Wolfgang;1946-11-16;0;1;0;0;0
P-44328;WC-2022;T-44;20;forward;Machino;Shuto;1999-09-30;0;0;0;0;1
P-44332;WC-1998;T-18;5;defender;Juri?;Goran;1963-02-05;0;0;1;0;0
P-44333;WC-1991;T-15;4;defender;Lo;Chu-yin;1965-10-06;1;0;1;0;0
P-44334;WC-2010;T-73;23;goal keeper;Reina;Pepe;1982-08-31;0;1;0;0;0
P-44334;WC-2018;T-73;23;goal keeper;Reina;Pepe;1982-08-31;0;1;0;0;0
P-44334;WC-2014;T-73;23;goal keeper;Reina;Pepe;1982-08-31;0;1;0;0;0
P-44334;WC-2006;T-73;23;goal keeper;Reina;Pepe;1982-08-31;0;1;0;0;0
P-44339;WC-1938;T-09;0;forward;Romeu;not applicable;1911-03-26;0;0;0;0;1
P-44340;WC-2006;T-74;15;defender;Svensson;Karl;1984-03-21;0;0;1;0;0
P-44349;WC-1978;T-41;16;midfielder;Causio;Franco;1949-02-01;0;0;0;1;0
P-44349;WC-1982;T-41;15;midfielder;Causio;Franco;1949-02-01;0;0;0;1;0
P-44349;WC-1974;T-41;18;midfielder;Causio;Franco;1949-02-01;0;0;0;1;0
P-44380;WC-2019;T-30;13;forward;Gauvin;Valérie;1996-06-01;1;0;0;0;1
P-44386;WC-2018;T-22;14;defender;Dalsgaard;Henrik;1989-07-27;0;0;1;0;0
P-44396;WC-2006;T-55;8;midfielder;Barreto;Édgar;1984-07-15;0;0;0;1;0
P-44396;WC-2010;T-55;8;midfielder;Barreto;Édgar;1984-07-15;0;0;0;1;0
P-44407;WC-2002;T-79;4;defender;Mkacher;Mohamed;1975-05-25;0;0;1;0;0
P-44411;WC-1990;T-73;16;midfielder;Bakero;José María;1963-02-11;0;0;0;1;0
P-44411;WC-1994;T-73;10;midfielder;Bakero;José María;1963-02-11;0;0;0;1;0
P-44438;WC-2010;T-46;21;forward;Bautista;Adolfo;1979-05-15;0;0;0;0;1
P-44443;WC-1990;T-83;8;defender;Bliss;Brian;1965-09-28;0;0;1;0;0
P-44446;WC-1954;T-84;14;defender;Tejera;Eusebio;1922-01-06;0;0;1;0;0
P-44446;WC-1950;T-84;0;defender;Tejera;Eusebio;1922-01-06;0;0;1;0;0
P-44448;WC-1998;T-61;19;midfielder;Stîng?;Ovidiu;1972-12-05;0;0;0;1;0
P-44448;WC-1994;T-61;20;midfielder;Stîng?;Ovidiu;1972-12-05;0;0;0;1;0
P-44453;WC-1958;T-87;21;defender;Radovi?;Nikola;1933-03-10;0;0;1;0;0
P-44460;WC-1998;T-11;16;goal keeper;Andem;William;1968-06-14;0;1;0;0;0
P-44462;WC-1998;T-63;3;defender;Al-Khilaiwi;Mohammed;1971-08-21;0;0;1;0;0
P-44462;WC-1994;T-63;3;defender;Al-Khilaiwi;Mohammed;1971-08-21;0;0;1;0;0
P-44463;WC-2018;T-18;18;forward;Rebi?;Ante;1993-09-21;0;0;0;0;1
P-44463;WC-2014;T-18;16;forward;Rebi?;Ante;1993-09-21;0;0;0;0;1
P-44473;WC-1999;T-46;15;midfielder;Hill;Laurie;1970-02-11;1;0;0;1;0
P-44475;WC-1930;T-06;0;defender;Hoydonckx;Nic;1900-12-29;0;0;1;0;0
P-44487;WC-1966;T-58;1;goal keeper;Américo;not applicable;1933-03-06;0;1;0;0;0
P-44505;WC-2018;T-54;15;defender;Davis;Erick;1991-03-31;0;0;1;0;0
P-44518;WC-1958;T-74;10;forward;Selmosson;Arne;1931-03-29;0;0;0;0;1
P-44526;WC-1930;T-56;0;forward;Lores;Julio;1908-09-15;0;0;0;0;1
P-44581;WC-2014;T-11;23;goal keeper;Ndjock;Sammy;1990-02-25;0;1;0;0;0
P-44600;WC-1982;T-49;20;midfielder;Turner;Grant;1958-10-07;0;0;0;1;0
P-44601;WC-1954;T-46;8;forward;Naranjo;José;1926-03-19;0;0;0;0;1
P-44601;WC-1950;T-46;0;forward;Naranjo;José;1926-03-19;0;0;0;0;1
P-44627;WC-2019;T-44;7;midfielder;Nakajima;Emi;1990-09-27;1;0;0;1;0
P-44632;WC-1994;T-07;7;midfielder;Pinedo;Mario;1964-04-09;0;0;0;1;0
P-44642;WC-1966;T-58;16;midfielder;Graça;Jaime;1942-01-10;0;0;0;1;0
P-44649;WC-2019;T-53;19;defender;Kvamme;Cecilie Redisch;1995-11-09;1;0;1;0;0
P-44661;WC-1998;T-38;8;midfielder;Dinmohammadi;Sirous;1970-07-02;0;0;0;1;0
P-44672;WC-2019;T-50;11;forward;Uchendu;Chinaza;1997-12-03;1;0;0;0;1
P-44682;WC-2010;T-70;15;defender;Thwala;Lucas;1981-10-19;0;0;1;0;0
P-44689;WC-2014;T-58;6;midfielder;Carvalho;William;1992-04-07;0;0;0;1;0
P-44689;WC-2018;T-58;14;midfielder;Carvalho;William;1992-04-07;0;0;0;1;0
P-44689;WC-2022;T-58;14;midfielder;Carvalho;William;1992-04-07;0;0;0;1;0
P-44699;WC-2022;T-57;8;midfielder;Szyma?ski;Damian;1995-06-16;0;0;0;1;0
P-44716;WC-2002;T-06;23;goal keeper;Herpoel;Frédéric;1974-08-16;0;1;0;0;0
P-44723;WC-1950;T-07;0;forward;Brown;Víctor;1927-03-07;0;0;0;0;1
P-44727;WC-1966;T-03;14;forward;Chaldú;Mario;1942-06-06;0;0;0;0;1
P-44740;WC-1934;T-75;0;defender;Weiler;Max;1900-09-25;0;0;1;0;0
P-44754;WC-1950;T-09;0;forward;Jair;not applicable;1921-03-21;0;0;0;0;1
P-44763;WC-2002;T-46;4;defender;Márquez;Rafael;1979-02-13;0;0;1;0;0
P-44763;WC-2010;T-46;4;defender;Márquez;Rafael;1979-02-13;0;0;1;0;0
P-44763;WC-2018;T-46;4;defender;Márquez;Rafael;1979-02-13;0;0;1;0;0
P-44763;WC-2006;T-46;4;defender;Márquez;Rafael;1979-02-13;0;0;1;0;0
P-44763;WC-2014;T-46;4;defender;Márquez;Rafael;1979-02-13;0;0;1;0;0
P-44771;WC-2019;T-14;9;forward;Yang;Li;1993-02-26;1;0;0;0;1
P-44775;WC-2006;T-20;16;goal keeper;Blažek;Jaromír;1972-12-29;0;1;0;0;0
P-44776;WC-1938;T-48;0;midfielder;van Heel;Puck;1904-01-21;0;0;0;1;0
P-44776;WC-1934;T-48;0;midfielder;van Heel;Puck;1904-01-21;0;0;0;1;0
P-44780;WC-2022;T-57;14;defender;Kiwior;Jakub;2000-02-15;0;0;1;0;0
P-44782;WC-1974;T-88;3;defender;Mukombo;Mwanza;1945-12-17;0;0;1;0;0
P-44786;WC-1978;T-56;16;midfielder;Gorriti;Raúl;1956-10-10;0;0;0;1;0
P-44798;WC-1966;T-72;18;forward;Banishevskiy;Anatoliy;1946-02-23;0;0;0;0;1
P-44799;WC-2022;T-48;7;forward;Bergwijn;Steven;1997-10-08;0;0;0;0;1
P-44808;WC-1999;T-32;3;defender;Yeboah;Rita;1976-05-25;1;0;1;0;0
P-44813;WC-1958;T-36;4;defender;Sárosi;László;1932-02-27;0;0;1;0;0
P-44813;WC-1962;T-36;4;defender;Sárosi;László;1932-02-27;0;0;1;0;0
P-44826;WC-2019;T-49;6;defender;Stott;Rebekah;1993-06-17;1;0;1;0;0
P-44826;WC-2015;T-49;6;defender;Stott;Rebekah;1993-06-17;1;0;1;0;0
P-44834;WC-1934;T-26;0;midfielder;Halim Ibrahim;Ahmed;1910-02-10;0;0;0;1;0
P-44850;WC-2002;T-80;5;defender;Özalan;Alpay;1973-05-29;0;0;1;0;0
P-44851;WC-2022;T-25;11;forward;Estrada;Michael;1996-04-07;0;0;0;0;1
P-44854;WC-1938;T-06;0;midfielder;Henry;Paul;1912-09-06;0;0;0;1;0
P-44882;WC-2003;T-30;16;goal keeper;Sapowicz;Bérangère;1983-02-06;1;1;0;0;0
P-44882;WC-2011;T-30;16;goal keeper;Sapowicz;Bérangère;1983-02-06;1;1;0;0;0
P-44887;WC-1930;T-87;0;defender;Ivkovi?;Milutin;1906-03-03;0;0;1;0;0
P-44896;WC-1966;T-28;14;defender;Armfield;Jimmy;1935-09-21;0;0;1;0;0
P-44896;WC-1962;T-28;2;defender;Armfield;Jimmy;1935-09-21;0;0;1;0;0
P-44916;WC-1930;T-03;0;forward;Scopelli;Alejandro;1908-05-12;0;0;0;0;1
P-44917;WC-1998;T-43;8;forward;Gayle;Marcus;1970-09-27;0;0;0;0;1
P-44926;WC-2018;T-04;4;forward;Cahill;Tim;1979-12-06;0;0;0;1;1
P-44926;WC-2006;T-04;4;midfielder;Cahill;Tim;1979-12-06;0;0;0;1;1
P-44926;WC-2010;T-04;4;midfielder;Cahill;Tim;1979-12-06;0;0;0;1;1
P-44926;WC-2014;T-04;4;forward;Cahill;Tim;1979-12-06;0;0;0;1;1
P-44932;WC-2018;T-66;4;midfielder;Milivojevi?;Luka;1991-04-07;0;0;0;1;0
P-44934;WC-2014;T-42;19;midfielder;Touré;Yaya;1983-05-13;0;0;0;1;0
P-44934;WC-2010;T-42;19;midfielder;Touré;Yaya;1983-05-13;0;0;0;1;0
P-44934;WC-2006;T-42;19;midfielder;Touré;Yaya;1983-05-13;0;0;0;1;0
P-44943;WC-2002;T-69;18;forward;A?imovi?;Milenko;1977-02-15;0;0;0;0;1
P-44945;WC-1974;T-48;22;defender;Vos;Harry;1946-09-04;0;0;1;0;0
P-44949;WC-1954;T-87;16;defender;Milovanov;Sima;1923-04-10;0;0;1;0;0
P-44957;WC-2022;T-17;20;midfielder;Aguilera;Brandon;2003-06-28;0;0;0;1;0
P-44963;WC-1938;T-61;0;midfielder;B?rbulescu;Andrei;1917-03-25;0;0;0;1;0
P-44978;WC-1990;T-61;12;goal keeper;Stelea;Bogdan;1967-12-05;0;1;0;0;0
P-44978;WC-1998;T-61;12;goal keeper;Stelea;Bogdan;1967-12-05;0;1;0;0;0
P-44978;WC-1994;T-61;12;goal keeper;Stelea;Bogdan;1967-12-05;0;1;0;0;0
P-44980;WC-2019;T-41;22;goal keeper;Pipitone;Rosalia;1985-08-03;1;1;0;0;0
P-45005;WC-2010;T-22;17;midfielder;Beckmann;Mikkel;1983-10-24;0;0;0;1;0
P-45025;WC-1986;T-03;4;midfielder;Borghi;Claudio;1964-09-28;0;0;0;1;0
P-45030;WC-1998;T-03;21;forward;Delgado;Marcelo;1973-03-24;0;0;0;0;1
P-45036;WC-1934;T-26;0;forward;Latif;Mohamed;1909-10-23;0;0;0;0;1
P-45038;WC-2019;T-70;4;defender;Matlou;Noko;1985-09-30;1;0;1;0;0
P-45039;WC-2002;T-73;13;goal keeper;Ricardo;not applicable;1971-12-30;0;1;0;0;0
P-45056;WC-2002;T-84;7;midfielder;Guigou;Gianni;1975-02-22;0;0;0;1;0
P-45065;WC-2018;T-50;3;defender;Echiéjilé;Elderson;1988-01-20;0;0;1;0;0
P-45065;WC-2010;T-50;21;defender;Echiéjilé;Elderson;1988-01-20;0;0;1;0;0
P-45067;WC-1958;T-72;20;forward;Falin;Yuri;1937-04-02;0;0;0;0;1
P-45085;WC-1966;T-41;21;defender;Rosato;Roberto;1943-08-18;0;0;1;0;0
P-45085;WC-1970;T-41;8;defender;Rosato;Roberto;1943-08-18;0;0;1;0;0
P-45101;WC-1950;T-13;0;forward;Infante;Raimundo;1928-02-02;0;0;0;0;1
P-45182;WC-2014;T-30;22;midfielder;Schneiderlin;Morgan;1989-11-08;0;0;0;1;0
